日期,代號,名稱,權重,股數
2026-04-07,LITE US,LUMENTUM HOLDINGS INC.lite us,8.63%,50000
2026-04-07,SNDK US,SANDISK CORP,4.97%,31800
2026-04-07,MU US,MICRON TECHNOLOGY INC,4.57%,55000
2026-04-07,6787 JP,MEIKO ELECTRONICS CO LTD,4.45%,108000
2026-04-07,GLW US,CORNING INC,3.88%,120700
2026-04-07,CIEN US,CIENA CORP,3.56%,38000
2026-04-07,5801 JP,FURUKAWA ELECTRIC CO LTD,3.33%,72000
2026-04-07,GEV US,GE VERNOVA INC,3.31%,16400
2026-04-07,3017,奇鋐,3.20%,215000
2026-04-07,6515,穎崴,3.09%,60000
2026-04-07,ENR GY,SIEMENS ENERGY AG,2.99%,75000
2026-04-07,2383,台光電,2.91%,144000
2026-04-07,005930 KS,samsung electronics co ltd(005930 KS),2.69%,95000
2026-04-07,2308,台達電,2.68%,257000
2026-04-07,5706 JP,Mitsui Mining ＆ Smelting Co,2.63%,60000
2026-04-07,COHR US,COHERENT INC,2.52%,45000
2026-04-07,3037,欣興,2.48%,720000
2026-04-07,2330,台積電,2.32%,177000
2026-04-07,HOT GY,HOCHTIEF AG,2.12%,20000
2026-04-07,BE US,BLOOM ENERGY CORP- A,2.03%,68000
2026-04-07,285A JP,KIOXIA HOLDINGS CORP,2.02%,65000
2026-04-07,TER US,TERADYNE INC,1.97%,28000
2026-04-07,5274,信驊,1.92%,24000
2026-04-07,FSLY US,FASTLY INC - CLASS A,1.83%,250000
2026-04-07,3110 JP,NITTO BOSEKI CO LTD,1.68%,56500
2026-04-07,NVDA US,NVIDIA CORP(輝達公司),1.49%,37500
2026-04-07,WDC US,WESTERN DIGITAL CORP,1.48%,22000
2026-04-07,AIXA GY,AIXTRON SE,1.36%,155000
2026-04-07,2360,致茂,1.36%,120000
2026-04-07,5803 JP,FUJIKURA LTD,1.33%,210000
2026-04-07,009150 KS,Samsung Electro-Mechanics co(009150 ks),1.13%,17000
